"","taxa","ITS.Copies"
"3","Absidia_repens",16
"4","Acaromyces_ingoldii",1
"5","Acaulopage_tetraceros",1
"8","Aciculosporium_take",1
"9","Acidomyces_sp._'richmondensis'",4
"10","Acremonium_chrysogenum",1
"11","Actinomortierella_ambigua",1
"12","Actinomortierella_wolfii",1
"15","Agaricus_bisporus",4
"17","Agrocybe_cylindracea",1
"18","Agrocybe_pediades",22
"19","Akanthomyces_lecanii",1
"22","Alectoria_fallacina",1
"23","Alectoria_sarmentosa",1
"24","Alloascoidea_hylecoeti",1
"25","Allomyces_macrogynus",9
"26","Alternaria_alternata",12
"27","Alternaria_arborescens",1
"28","Alternaria_atra",3
"29","Alternaria_brassicae",19
"30","Alternaria_brassicicola",3
"31","Alternaria_burnsii",1
"33","Alternaria_gaisen",5
"35","Alternaria_longipes",1
"36","Alternaria_solani",12
"37","Alternaria_tenuissima",1
"38","Amanita_bisporigera",1
"42","Amanita_muscaria",1
"43","Amanita_phalloides",2
"45","Amanita_pseudoporphyria",1
"46","Amanita_rubescens",127
"49","Amauroascus_niger",1
"50","Amauroderma_rugosum",17
"51","Ambrosiella_cleistominuta",1
"52","Ambrosiella_xylebori",3
"53","Ambrosiozyma_ambrosiae",1
"55","Ambrosiozyma_maleeae_(nom._inval.)",1
"57","Ambrosiozyma_oregonensis_(nom._inval.)",1
"58","Ambrosiozyma_philentoma",1
"59","Ambrosiozyma_pseudovanderkliftii",1
"60","Ambrosiozyma_vanderkliftii",1
"61","Amesia_nigricolor",19
"62","Amniculicola_lignicola",5
"64","Amorphotheca_resinae",1
"65","Ampelomyces_quisqualis",46
"66","Amphirosellinia_nigrospora",4
"67","Amylostereum_areolatum",25
"68","Anaeromyces_robustus",2
"69","Anncaliia_algerae",1
"70","Annulohypoxylon_stygium",1
"71","Annulohypoxylon_truncatum",3
"72","Antarctomyces_pellizariae",1
"73","Anthracocystis_flocculosa",1
"74","Anthracocystis_panici-leucophaei",4
"75","Antonospora_locustae",4
"76","Antrodiella_citrinella",1
"77","Aotearoamyces_nothofagi",1
"78","Apiotrichum_akiyoshidainum",8
"86","Apiotrichum_porosum",4
"93","Aquanectria_penicillioides",10
"94","Arachnopeziza_araneosa",1
"96","Armillaria_cepistipes",8
"98","Armillaria_gallica",4
"99","Armillaria_ostoyae",3
"103","Arthrinium_phaeospermum",1
"104","Arthrinium_saccharicola",17
"105","Arthrobotrys_entomopaga",1
"106","Arthrobotrys_flagrans",23
"107","Arthrocladium_fulminans",1
"108","Arthroderma_uncinatum",3
"110","Articulospora_tetracladia",5
"111","Ascobolus_immersus",1
"112","Ascochyta_fabae",12
"113","Ascochyta_koolunga",9
"114","Ascochyta_lentis",8
"115","Ascochyta_rabiei",11
"116","Ascochyta_viciae",28
"117","Ascochyta_viciae-villosae",39
"118","Ascocoryne_sarcoides",1
